date,SPX_spot,VIX_computed,VIX_actual,F1_sticky_strike,F2_parallel_shift,F3_put_skew_grad,F4_call_skew_grad,F5_downside_conv,F6_upside_conv,sum_factors
2026-01-02,6858.47,14.378150819826246,14.47,,,,,,,
2026-01-05,6902.14,14.812776461717297,14.92,-0.5115918196070606,0.7400054045129139,-0.02035625609150693,-0.08261824174064836,0.36006663458127663,-0.13196355965378503,0.3535421620011896
2026-01-06,6944.84,14.602814042139714,14.7,-0.5689006120659048,0.2804823853636549,0.018592853543233367,-0.09074096894911837,0.24203509465104467,-0.4286583349956284,-0.5471895824527186
2026-01-07,6920.95,15.263968138329782,15.38,0.22798710021828406,0.2578466175274787,-0.017239294332617228,-0.16611179333511397,0.1905057439966772,0.003941901326428493,0.4969302754011372
2026-01-08,6921.35,15.327025300265495,15.48,-0.004492280476133814,-0.0652822583193231,0.09310883928371635,-0.07086641489576137,0.22935871383751813,-0.049143796659844086,0.1326828027701721
2026-01-09,6966.28,14.066808899523785,14.53,-0.5408793518736843,-0.6031873301271027,0.07526349936755083,0.0528069663048325,0.027417860058621013,-0.02031119834891093,-1.0088895546186936
2026-01-12,6977.29,14.57062643310464,15.08,-0.055850482038133364,0.5814102306560756,0.02074786925382721,-0.08676590740642448,0.05324684101167776,-0.342526811294294,0.17026174018272872
2026-01-13,6963.62,15.445767508891453,15.92,0.08250632326341822,0.572497709238446,0.03161137846304596,-0.4129026872592307,0.22477359827197474,-0.23136759675144775,0.2671187252262065
2026-01-14,6927.03,16.05946945774036,16.59,0.40000546207865284,0.05416178809533001,-0.0633282383958371,-0.010085746078396483,-0.03314027997289137,0.1197117256026913,0.4673247113295492
2026-01-15,6944.5,15.249221369646376,15.71,-0.33754219278667996,-0.3904709591700488,0.0138520460774893,0.038476691051923584,-0.11630138593957079,0.14792127031730226,-0.6440645304495842
2026-01-16,6940.01,15.34619963555346,15.84,0.0,0.2900244804321428,-0.25745831121307017,-0.30795350832837687,0.11219539563066463,-0.06873700130513599,-0.2319289447837756
2026-01-20,6796.93,20.12396618919617,20.5,2.0100635706316066,1.6521861833032627,0.18445263231605558,0.32488951603343663,0.15032667548835188,-0.3461443987132742,3.97577417905944
2026-01-21,6875.62,16.937140906368253,17.02,-1.2162676362358322,-1.1820930857276135,-0.21350928281409942,0.19377288542839133,-0.3763223123620798,0.19901747329127284,-2.595401958419961
2026-01-22,6913.38,15.572287537916822,15.65,-0.4823655781494196,-0.36872844798075555,-0.1896686207258943,-0.02757958920577097,-0.34215062489720205,0.00664098408613506,-1.4038518768729078
2026-01-23,6915.62,15.720843054724575,15.83,-0.04141895828086817,-0.12370712634493586,0.29974801958093367,0.05427633426213917,0.07871110032306072,-0.12453059638719301,0.14307877315313655
2026-01-26,6950.28,15.9673391409078,16.09,-0.47741234854573555,0.6435529659032913,-0.02615445819812856,-0.13127281737174612,0.1565261001110856,-0.297346982921742,-0.1321075410229754
2026-01-27,6978.56,16.096721455599663,16.23,-0.421618239119816,0.32301821612433734,0.08981045180926966,-0.05905029991829158,0.20139972434276726,-0.21073992333208097,-0.07718007009381428
2026-01-28,6978.06,16.463403059226636,16.54,0.0,0.41724445843412106,-0.002158294363288238,-0.10427314115135822,-0.2108031027494901,-0.20538451254203238,-0.10537459237204788
2026-01-29,6968.87,16.68612636587504,16.79,0.09610194173489539,0.1376763049741072,0.031907198446511076,-0.18031899094356796,-0.2320106391526044,-0.13653058165389853,-0.2831747665945572
2026-01-30,6939.19,17.33928570361239,17.42,0.44295598637448386,0.2183078483650558,-0.07610157615642046,-0.08905047009929337,0.15013270734838394,-0.005656564628684982,0.6405879312035248
2026-02-02,6976.5,16.27569894930309,16.46,-0.5819140566141829,-0.3022815314481466,-0.10042845127181749,0.0222500706336502,-0.1999444060792706,0.04799318083971171,-1.1143251939400556
2026-02-03,6917.77,17.617406181276436,17.99,0.7929016902080512,0.43227842322501253,-0.05548462342673971,-0.08558807658625867,-0.052236053790094106,0.06208273674344117,1.0939540963734125
2026-02-04,6882.73,18.810251015942136,19.2,0.6551727633962496,0.7841934022870731,-0.057187379847148834,-0.06113759080810577,-0.5011711167122423,-0.24093873667217802,0.5789313416436479
2026-02-05,6798.1,21.18916121086308,21.71,1.2692259415501717,0.91446626035059,0.026675010023476387,-0.3289763516923627,-0.22673145713722365,0.33688135133096997,1.9915407544256216
2026-02-06,6932.2,17.38988101148283,17.79,-1.9626003753521513,-1.18861909203304,-0.6336441602074121,-0.13401697000223023,0.5555054230202776,-0.29635633615810564,-3.659731510732662
2026-02-09,6964.68,17.218263621868076,17.44,-0.710358453367256,0.14140591646279255,0.12242782641914746,-0.03502696550947408,0.38693463632527697,0.0010366739100073769,-0.09358036575950575
2026-02-10,6941.8,17.657726827942927,17.82,0.04590156909326559,0.4458424261861662,-0.31184211276354423,-0.4077765368467785,0.0035820785233798835,0.008899975760775392,-0.21539260004673566
